交易时间,交易金额,转账附言,渠道,发起方id,发起方年龄,发起方所处地区,接收方ID
2017-12-23 00:07:36,1989200,转账,普通转账,3655,22,广东,44
2017-12-23 00:08:25,4802500,-,线下付款,2703,50,新疆,47
2017-12-23 00:12:37,3254000,-,线上付款,3476,36,安徽,92
2017-12-23 00:12:50,3458600,-,线下付款,6017,31,贵州,43
2017-12-23 00:13:21,2085400,奖金,普通转账,1904,37,云南,18
2017-12-23 00:15:05,1786000,收款,普通转账,5662,28,贵州,1
2017-12-23 00:18:57,2997000,上次买的xx,普通转账,5246,37,贵州,7
2017-12-23 00:26:36,4037300,劳务费,普通转账,823,23,重庆,98
2017-12-23 00:30:30,1880900,转账,普通转账,2552,33,贵州,14
2017-12-23 00:31:42,3158400,还给你,普通转账,6729,31,北京,87
2017-12-23 00:41:47,4657100,昨天吃饭AA,普通转账,1884,30,四川,95
2017-12-23 00:43:19,4240700,-,线下付款,2114,38,福建,48
2017-12-23 00:45:57,2635600,-,线下付款,6280,31,贵州,46
2017-12-23 00:54:56,3197700,上次买的xx,普通转账,6962,46,北京,100
2017-12-23 01:00:50,3984600,-,线下付款,4745,42,内蒙古,77
2017-12-23 01:03:23,3403300,-,线下付款,4269,46,新疆,80
2017-12-23 01:07:10,4898800,工资,普通转账,6180,30,内蒙古,77
2017-12-23 01:12:41,3063500,-,线下付款,2857,26,黑龙江,83
2017-12-23 01:14:46,1641200,转账,跨境转账,3749,21,越南,39
2017-12-23 01:16:00,1904900,利息,普通转账,3853,46,安徽,41
2017-12-23 01:16:35,1948300,-,线上付款,3748,20,新疆,92
2017-12-23 01:17:57,2939000,-,线下付款,4558,32,内蒙古,46
2017-12-23 01:24:16,4255700,-,线下付款,273,50,重庆,84
2017-12-23 01:33:25,3066200,李xx给张xx的钱,普通转账,6999,29,福建,56
2017-12-23 01:34:31,4527600,-,线下付款,112,27,重庆,54
2017-12-23 01:38:22,1011000,-,线下付款,6518,27,福建,80
2017-12-23 01:43:31,3860500,昨天吃饭AA,跨境转账,2946,50,越南,69
2017-12-23 02:03:21,480000,昨天吃饭AA,普通转账,3678,37,内蒙古,41
2017-12-23 02:11:03,1102200,-,线上付款,1873,28,北京,8
2017-12-23 02:13:21,4313600,-,线下付款,1698,22,云南,25
2017-12-23 02:31:25,1632300,还给你,普通转账,3324,22,重庆,82
2017-12-23 02:33:33,3787300,-,线下付款,5886,40,安徽,40
2017-12-23 02:33:47,287600,李xx给张xx的钱,普通转账,4656,49,广东,66
2017-12-23 02:34:55,4171000,-,线下付款,6743,32,内蒙古,68
2017-12-23 02:37:03,2555100,-,线下付款,1437,46,四川,78
2017-12-23 02:38:15,3891300,-,线下付款,3151,28,重庆,44
2017-12-23 02:40:12,1344000,王xx专用款,普通转账,6020,36,福建,57
2017-12-23 02:50:28,1311400,-,线下付款,3684,23,重庆,68
2017-12-23 02:52:33,4372800,-,线下付款,2400,39,内蒙古,8
2017-12-23 02:56:58,1519700,李xx给张xx的钱,普通转账,1245,28,浙江,96
2017-12-23 03:01:34,1523100,-,线下付款,9,46,浙江,47
2017-12-23 03:07:09,3265400,水电费,跨境转账,5703,42,法国,49
2017-12-23 03:07:10,2647100,-,线下付款,957,31,新疆,9
2017-12-23 03:09:19,2506600,-,线下付款,3456,40,重庆,39
2017-12-23 03:15:49,2988500,王xx专用款,普通转账,2967,48,新疆,56
2017-12-23 03:16:05,1321100,-,线下付款,6482,19,北京,48
2017-12-23 03:19:26,103300,-,线下付款,2775,23,黑龙江,24
2017-12-23 03:20:49,1440300,-,线上付款,437,30,新疆,75
2017-12-23 03:26:37,4447100,-,线下付款,4964,34,广东,93
2017-12-23 03:28:13,4262300,王xx专用款,普通转账,2472,26,新疆,22
2017-12-23 03:29:24,1427900,-,线下付款,1325,48,四川,9
2017-12-23 03:31:34,1801300,收款,普通转账,1617,23,云南,13
2017-12-23 03:33:27,2306000,拿去花,普通转账,424,48,福建,95
2017-12-23 03:36:46,1929300,-,线下付款,3493,36,重庆,96
2017-12-23 03:52:54,4267900,-,线下付款,5176,49,黑龙江,100
2017-12-23 03:58:34,2386200,-,线下付款,4344,28,浙江,64
2017-12-23 04:01:07,4163300,-,线下付款,3393,23,重庆,43
2017-12-23 04:03:14,878400,-,线下付款,5954,24,四川,65
2017-12-23 04:15:03,2047300,还给你,跨境转账,3231,47,越南,88
2017-12-23 04:15:47,1687600,还钱,普通转账,6574,41,广东,37
2017-12-23 04:22:13,1179200,-,线下付款,5678,26,浙江,2
2017-12-23 04:24:21,839000,奖金,普通转账,6536,31,广东,38
2017-12-23 04:26:15,4227500,-,线下付款,3551,40,内蒙古,87
2017-12-23 04:27:22,2932900,水电费,普通转账,4779,38,新疆,98
2017-12-23 04:30:02,3403600,-,线下付款,5930,31,福建,9
2017-12-23 04:30:33,723400,昨天吃饭AA,普通转账,3051,44,云南,77
2017-12-23 04:31:40,2753300,上次买的xx,普通转账,1554,38,内蒙古,86
2017-12-23 04:36:08,1706500,李xx给张xx的钱,普通转账,4570,38,黑龙江,87
2017-12-23 04:37:39,2224500,还钱,普通转账,3136,21,福建,65
2017-12-23 04:41:01,1515400,-,线下付款,2849,47,贵州,10
2017-12-23 04:46:56,4937100,-,线下付款,1081,49,广东,94
2017-12-23 04:48:13,2484800,本月生活费,普通转账,6169,30,浙江,13
2017-12-23 04:54:36,1733400,转账,普通转账,1315,33,北京,68
2017-12-23 05:12:40,2426700,一季度房租,普通转账,6767,21,重庆,88
2017-12-23 05:12:58,4219200,昨天吃饭AA,跨境转账,2628,36,柬埔寨,8
2017-12-23 05:18:27,1010000,-,线下付款,1718,25,上海,52
2017-12-23 05:27:42,4532000,转账,普通转账,2946,49,内蒙古,98
2017-12-23 05:44:28,3021700,还钱,普通转账,4295,23,内蒙古,21
2017-12-23 05:45:49,3828500,昨天吃饭AA,跨境转账,1716,31,英国,18
2017-12-23 05:47:51,3071700,利息,普通转账,6672,48,安徽,41
2017-12-23 05:48:22,4033500,王xx专用款,普通转账,4088,19,四川,91
2017-12-23 05:59:37,4863600,上次买的xx,普通转账,1609,34,广东,35
2017-12-23 06:00:58,2007900,王xx专用款,跨境转账,2778,33,法国,80
2017-12-23 06:01:10,1928500,昨天吃饭AA,普通转账,3487,34,内蒙古,99
2017-12-23 06:10:38,2848300,工资,普通转账,764,19,重庆,65
2017-12-23 06:13:13,2876500,收款,普通转账,3929,23,新疆,46
2017-12-23 06:13:21,1781000,-,线下付款,5704,42,云南,58
2017-12-23 06:25:09,4648100,李xx给张xx的钱,普通转账,6595,34,重庆,5
2017-12-23 06:26:12,673300,-,线上付款,5872,43,云南,42
2017-12-23 06:30:57,4166400,-,线下付款,4192,22,贵州,52
2017-12-23 06:33:19,1555500,转账,普通转账,5855,30,重庆,65
2017-12-23 06:35:19,2417100,利息,普通转账,4661,39,广东,66
2017-12-23 06:35:59,1392000,昨天吃饭AA,普通转账,5072,35,黑龙江,27
2017-12-23 06:46:49,2489000,-,线下付款,5293,46,新疆,32
2017-12-23 06:49:12,2200300,-,线下付款,850,38,福建,20
2017-12-23 06:53:20,4796700,-,线上付款,6268,29,新疆,73
2017-12-23 07:00:10,3343500,-,线下付款,2276,21,重庆,71
2017-12-23 07:00:20,2723200,收款,普通转账,1043,47,贵州,69
2017-12-23 07:06:55,3203300,-,线下付款,3063,44,云南,62
2017-12-23 07:17:33,2935100,-,线下付款,5657,29,新疆,30
2017-12-23 07:21:18,3160300,-,线下付款,1035,43,广东,48
2017-12-23 07:22:07,1271200,转账,跨境转账,3496,19,日本,65
2017-12-23 07:45:26,46200,-,线下付款,3317,23,上海,15
2017-12-23 07:50:00,2053000,王xx专用款,普通转账,3061,25,浙江,20
2017-12-23 07:50:27,285100,-,线下付款,513,22,浙江,47
2017-12-23 07:54:42,2336500,王xx专用款,普通转账,5682,27,内蒙古,20
2017-12-23 07:58:23,1587900,王xx专用款,普通转账,3903,42,广东,98
2017-12-23 08:03:45,4027400,利息,普通转账,4889,27,新疆,21
2017-12-23 08:11:29,2464500,奖金,跨境转账,757,42,日本,48
2017-12-23 08:12:55,1697700,上次买的xx,普通转账,2352,42,四川,53
